id,vorname,name,wohnort,geburtsdatum,sternzeichen,zivilstand,groesse,gewicht,hobbys,erlernter_beruf,jetziger_beruf,besonderes,bild_url,tv,knt_gau,kranz_all,kranz_eid,kranz_tv,kranz_berg,kranz_knt_gau,kranz_2025,link_pdf
15,Fabian,Bärtsch,Flumserberg Tannenboden,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-26-31_DSC_4404.jpg,NOSV,St. Gallen,10,0,1,0,9,2,https://esv.ch/schwingerportraets/Baertsch_Fabian_Flumserberg_Tannenboden.pdf
16,Peter,Beer,Horboden,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7583.jpg,BKSV,Oberland,9,0,0,0,9,1,https://esv.ch/schwingerportraets/Beer_Peter_Oey.pdf
17,Sascha,Berger,La Ferrière,,,,,,,,,,,SWSV,Neuchâteloise,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Berger_Sascha_La_Ferrière.pdf
18,Marco,Bernhard,Urtenen-Schönbühl,,,,,,,,,,https://esv.ch/pics/schwinger/large/Baeri.jpg,BKSV,Mittelland,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Bernhard_Marco_Urtenen-Schoenbuehl_BE.pdf
19,Christian,Bernold,Flums,,,,,,,,,,https://esv.ch/pics/schwinger/large/LOWRES_Bernold_Christian_CG19-04-20_DSF4964SS.jpg,NOSV,St. Gallen,22,0,2,0,20,2,https://esv.ch/schwingerportraets/Bernold_Christian_Walenstadt.pdf
20,Marcel,Betschart,Arth,,,,,,,,,,,ISV,Zug,6,0,0,0,6,1,https://arls.esv.ch/schwingerportraets/Betschart_Marcel_Oberarth.pdf
21,Patrick,Betschart,Immensee,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Betschart_Patrick_619248.jpg,ISV,Schwyz,16,0,1,0,15,2,https://esv.ch/schwingerportraets/Betschart_Patrick_Immensee.pdf
22,Christian,Biäsch,Davos Sertig,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-29-56_DSC_4417.jpg,NOSV,Graubünden,21,0,1,0,20,2,https://esv.ch/schwingerportraets/Biaesch_Christian_Davos_Sertig.pdf
23,Marcel,Bieri,Edlibach,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Bieri_Marcel_8448798.jpg,ISV,Zug,45,1,9,10,25,2,https://esv.ch/schwingerportraets/Bieri_Marcel_Edlibach.pdf
24,Fabian,Birchler,Trachslau,,,,,,,,,,,ISV,Schwyz,3,0,0,0,3,1,https://esv.ch/schwingerportraets/Birchler_Fabian_Trachslau_SZ.pdf
25,Luc,Bissig,Baldegg,,,,,,,,,,,ISV,Luzern,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Bissig_Luc_Baldegg.pdf
26,Lukas,Bissig,Attinghausen,,,,,,,,,,,ISV,Uri,23,0,3,6,14,2,https://esv.ch/schwingerportraets/Bissig_Lukas_Attinghausen.pdf
27,Ueli,Bleiker,Ulisbach,,,,,,,,,,,NOSV,St. Gallen,4,0,0,0,4,1,https://esv.ch/schwingerportraets/Bleiker_Ueli_Ulisbach.pdf
28,Mario,Bösch,Waldstatt,,,,,,,,,,,NOSV,Appenzell,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Boesch_Mario_Waldstatt.pdf
29,Fredi,Bruhin,Siebnen,,,,,,,,,,,ISV,Schwyz,2,0,0,0,2,2,https://esv.ch/schwingerportraets/Bruhin_Fredi_Siebnen.pdf
30,Samuel,Brun,Perlen,,,,,,,,,,https://esv.ch/pics/schwinger/large/Brun_Samuel_BL.JPG,NWSV,Baselland,18,0,2,0,16,3,https://esv.ch/schwingerportraets/Brun_Samuel_Perlen.pdf
31,Christian,Bucher,Unterägeri,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Bucher_Christian_620435.jpg,ISV,Zug,20,0,4,0,16,2,https://esv.ch/schwingerportraets/Bucher_Christian_Unteraegeri.pdf
32,Roland,Bucher,Walchwil,,,,,,,,,,https://esv.ch/pics/schwinger/large/Bucher_Roland_1994.jpg,ISV,Zug,11,0,0,0,11,2,https://esv.ch/schwingerportraets/Bucher_Roland_Finstersee.pdf
33,Roman,Bucher,Melchtal,,,,,,,,,,,ISV,Ob- und Nidwalden,2,0,0,0,2,2,https://nwsv.esv.ch/schwingerportraets/Bucher_Roman_Melchtal2.pdf
34,Dario,Bühler,Scharnachtal,,,,,,,,,,,BKSV,Oberland,5,0,0,0,5,2,https://esv.ch/schwingerportraets/Buehler_Dario_Scharnachtal.pdf
35,Kilian,Bühler,Ohmstal,,,,,,,,,,,ISV,Luzern,8,0,0,0,8,1,https://esv.ch/schwingerportraets/Buehler_Kilian_Grosswangen.pdf
36,Jonas,Burch,Stalden (Sarnen),,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Burch_Jonas_620263.jpg,ISV,Ob- und Nidwalden,25,1,2,3,19,3,https://esv.ch/schwingerportraets/Burch_Jonas_Stalden_Sarnen2.pdf
37,Etienne,Burger,Les Prés-d'Orvin,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO8090.jpg,BKSV,Seeland,8,0,0,2,6,1,https://esv.ch/schwingerportraets/Burger_Etienne_Les_Pres-dOrvin.pdf
38,Reto,Bürgi,Kerns,,,,,,,,,,,ISV,Ob- und Nidwalden,6,0,0,0,6,1,https://esv.ch/schwingerportraets/Buergi_Reto_Giswil.pdf
39,Roger,Bürli,Hüswil,,,,,,,,,,https://zksv.esv.ch/pics/schwinger/large/ISV_Buerli_Roger_619940.jpg,ISV,Luzern,15,0,2,0,13,2,https://zksv.esv.ch/schwingerportraets/Buerli_Roger_Ruswil.pdf
40,Victor,Cardinaux,Froideville,,,,,,,,,,https://esv.ch/pics/schwinger/large/Cardinaux_Victor_Entrainement_Cottens.jpg,SWSV,Vaudoise,15,0,4,0,11,1,https://esv.ch/schwingerportraets/Cardinaux_Victor_Villars-le-Terroir.pdf
41,Fabio,Castelli,Andeer,,,,,,,,,,,NOSV,Graubünden,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Castelli_Fabio_Andeer.pdf
42,Jérôme,Christen,Ermatingen,,,,,,,,,,https://esv.ch/pics/schwinger/large/180722-11-06-09_DSC_5811__Tschirtschen_22_Juli_18_Schwingen_-_NOSV_ENST_Zusammenzug_Christen_Jerome_Jg_02_-_Illighausen_Lorenz_Reifler.jpg,NOSV,Thurgau,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Christen_Jerome_Scherzingen.pdf
43,Aurélien,Clément,Ependes FR,,,,,,,,,,,SWSV,Fribourgeoise,2,0,0,0,2,2,https://esv.ch/schwingerportraets/Clément_Aurélien_Ependes_FR.pdf
44,Romain,Collaud,Vallon,,,,,,,,,,https://esv.ch/pics/schwinger/large/SWSV_Collaud_Romain_080713.jpg,SWSV,Fribourgeoise,24,1,4,1,18,2,https://esv.ch/schwingerportraets/Collaud_Romain_Vallon.pdf
45,Lukas,Dällenbach,Säriswil,,,,,,,,,,,BKSV,Mittelland,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Daellenbach_Lukas_Saeriswil.pdf
46,Shane,Dändliker,Wolfhausen,,,,,,,,,,https://esv.ch/pics/schwinger/large/LOWRES_Daendliker_Shane_CG19-04-20CG19-04-20_DSF4835S.jpg,NOSV,Zürich,28,0,3,4,21,2,https://esv.ch/schwingerportraets/Daendliker_Shane_Feldbach_ZH.pdf
47,Andreas,Döbeli,Sarmenstorf,,,,,,,,,,https://esv.ch/pics/schwinger/large/Doebeli_Andreas_82A0602.jpg,NWSV,Aargau,36,1,6,3,26,4,https://esv.ch/schwingerportraets/Doebeli_Andreas_Sarmenstorf.pdf
48,Urs,Doppmann,Romoos,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Doppmann_Urs_619726.jpg,ISV,Luzern,23,0,6,3,14,2,https://esv.ch/schwingerportraets/Doppmann_Urs_Romoos.pdf
49,Etienne,Ducrest,Bouloz,,,,,,,,,,https://esv.ch/pics/schwinger/large/SWSV_Ducrest_Etienne_080623.jpg,SWSV,Fribourgeoise,6,0,0,0,6,1,https://esv.ch/schwingerportraets/Ducrest_Etienne_Bouloz.pdf
50,Antoine,Ducry,Marly,,,,,,,,,,https://esv.ch/pics/schwinger/large/SWSV_Ducry_Antoine_080522.jpg,SWSV,Fribourgeoise,7,0,1,0,6,1,https://esv.ch/schwingerportraets/Ducry_Antoine_Marly.pdf
51,Tobias,Dünner,Sulz AG,,,,,,,,,,,NWSV,Aargau,3,0,0,0,3,1,https://esv.ch/schwingerportraets/Duenner_Tobias_Sulz_AG.pdf
52,Steve,Duplan,Ollon VD,,,,,,,,,,https://esv.ch/pics/schwinger/large/SWSV_Duplan_Steve_080328.jpg,SWSV,Vaudoise,29,1,5,0,23,1,https://esv.ch/schwingerportraets/Duplan_Steve_Ollon_VD.pdf
53,Fabian,Durrer,Edlibach,,,,,,,,,,,ISV,Zug,4,0,0,0,4,1,https://esv.ch/schwingerportraets/Durrer_Fabian_Edlibach.pdf
54,Nando,Durrer,Alpnachstad,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Durrer_Nando_620271.jpg,ISV,Ob- und Nidwalden,17,0,2,0,15,2,https://esv.ch/schwingerportraets/Durrer_Nando_Alpnach_Dorf.pdf
55,Marco,Eggimann,Kernenried,,,,,,,,,,,BKSV,Oberaargau,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Eggimann_Marco_Kernenried_BE.pdf
56,Adrian,Egli,Steinhuserberg,,,,,,,,,,,ISV,Luzern,3,0,0,0,3,1,https://esv.ch/schwingerportraets/Egli_Adrian_Steinhuserberg.pdf
57,Damian,Egli,Steinhuserberg,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Egli_Damian_619749.jpg,ISV,Luzern,22,0,6,0,16,1,https://esv.ch/schwingerportraets/Egli_Damian_Steinhuserberg.pdf
58,Adrian,Elsener,Zug,,,,,,,,,,,ISV,Zug,9,0,1,0,8,1,https://esv.ch/schwingerportraets/zurueckgetretene_schwinger/Elsener_Adrian_Menzingen.pdf
59,Elias,Epp,Attinghausen,,,,,,,,,,,ISV,Uri,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Epp_Elias_Attinghausen.pdf
60,Stefan,Ettlin,Kerns,,,,,,,,,,,ISV,Ob- und Nidwalden,23,0,4,1,18,3,https://esv.ch/schwingerportraets/Ettlin_Stefan_Kerns.pdf
61,Flurin,Eymann,Schwarzenbach (Huttwil),,,,,,,,,,https://esv.ch/pics/schwinger/large/Eymann_Flurin.jpg,NWSV,Aargau,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Geissbuehler_Flurin_Schwarzenbach_Huttwil.pdf
62,Marco,Fankhauser,Schüpfheim,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Fankhauser_Marco_619177.jpg,ISV,Luzern,35,0,4,8,23,2,https://esv.ch/schwingerportraets/Fankhauser_Marco_Hasle_LU.pdf
63,Reto,Fankhauser,Hasle LU,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Fankhauser_Reto_619186.jpg,ISV,Luzern,25,0,7,2,16,2,https://esv.ch/schwingerportraets/Fankhauser_Reto_Hasle_LU.pdf
64,Kjetil,Fausch,Weite,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-29-05_DSC_4416.jpg,NOSV,St. Gallen,12,0,0,0,12,1,https://esv.ch/schwingerportraets/Fausch_Kjetil_Weite.pdf
65,Ivan,Felder,Ennetmoos,,,,,,,,,,,ISV,Ob- und Nidwalden,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Felder_Ivan_Ennetmoos.pdf
66,Martin,Felder,Ebnet,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Felder_Martin_619759.jpg,ISV,Luzern,7,0,1,0,6,1,https://esv.ch/schwingerportraets/Felder_Martin_Ebnet.pdf
67,Patrik,Feldmann,Riedern,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-35-04_DSC_4424.jpg,NOSV,Glarus,4,0,0,0,4,1,https://esv.ch/schwingerportraets/Feldmann_Patrick_Riedern.pdf
68,Marco,Flütsch,Ascharina,,,,,,,,,,,NOSV,Graubünden,1,0,0,0,1,1,https://esv.ch/documents/ranglisten/zs3/2025-04-13_Buendner_Fruehjahrsschwingen-RL.pdf
69,Franco,Föhn,Sattel,,,,,,,,,,,ISV,Schwyz,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Foehn_Franco_Sattel.pdf
70,Marius,Frank,Luterbach,,,,,,,,,,https://esv.ch/pics/schwinger/large/Marius_Frank_NWSV_SO.jpg,NWSV,Solothurn,13,0,2,0,11,3,https://esv.ch/schwingerportraets/Frank_Marius_Luterbach.pdf
71,Nicola,Funk,Gibswil,,,,,,,,,,https://esv.ch/pics/schwinger/large/220813-12-13-33_DSC_7907.jpg,NOSV,Zürich,10,0,0,0,10,2,https://esv.ch/schwingerportraets/Funk_Nicola_Hinwil.pdf
72,Arjuna,Fuster,Bubikon,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-20-49_DSC_4383.jpg,NOSV,Zürich,4,0,0,0,4,1,https://esv.ch/schwingerportraets/Fuster_Arjuna_Bubikon.pdf
73,Benjamin,Gapany,Marsens,,,,,,,,,,https://esv.ch/pics/schwinger/large/Gapany_Benjamin_Entrainement_Cottens.jpg,SWSV,Fribourgeoise,55,1,15,8,31,1,https://esv.ch/schwingerportraets/Gapany_Benjamin_Hauteville.pdf
74,Dominik,Gasser,Süderen,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7399.jpg,BKSV,Emmental,21,1,1,2,17,1,https://esv.ch/schwingerportraets/Gasser_Dominik_Suederen.pdf
75,Andrj,Gerber,Rothenfluh,,,,,,,,,,https://esv.ch/pics/schwinger/large/Geber_Andrj_BL_Ersatz.JPG,NWSV,Baselland,5,0,0,0,5,1,https://esv.ch/schwingerportraets/Gerber_Andrj_Rothenfluh.pdf
76,Samuel,Giger,Märstetten,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-17-59_DSC_4374.jpg,NOSV,Thurgau,67,3,13,20,31,2,https://esv.ch/schwingerportraets/Giger_Samuel_Ottoberg.pdf
77,Timo,Gisler,Rumisberg,,,,,,,,,,,NWSV,Solothurn,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Gisler_Timo_Rumisberg.pdf
78,Jonas,Glutz,Derendingen,,,,,,,,,,https://esv.ch/pics/schwinger/large/Glutz_Jonas.JPG,NWSV,Solothurn,3,0,0,0,3,2,https://esv.ch/schwingerportraets/Glutz_Jonas_Derendingen.pdf
79,Pirmin,Gmür,Amden,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-38-45_DSC_4439.jpg,NOSV,St. Gallen,20,0,3,0,17,1,https://esv.ch/schwingerportraets/Gmuer_Pirmin_Amden.pdf
80,Florian,Gnägi,Aarberg,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7822.jpg,BKSV,Seeland,115,2,20,26,67,1,https://esv.ch/schwingerportraets/Gnaegi_Florian_Aarberg.pdf
81,Patrick,Gobeli,Oey,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7413.jpg,BKSV,Oberland,40,1,6,8,25,2,https://esv.ch/schwingerportraets/Gobeli_Patrick_Oey.pdf
82,Marco,Good,Sargans,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-26-54_DSC_4405.jpg,NOSV,St. Gallen,24,1,2,0,21,2,https://esv.ch/schwingerportraets/Good_Marco_Sargans.pdf
83,Luc,Gottofrey,Assens,,,,,,,,,,https://esv.ch/pics/schwinger/large/SWSV_Gottofrey_Luc_080269.jpg,SWSV,Vaudoise,8,0,0,0,8,1,https://esv.ch/schwingerportraets/Gottofrey_Luc_Assens.pdf
84,Marc,Gottofrey,Echallens,,,,,,,,,,https://esv.ch/pics/schwinger/large/SWSV_Gottofrey_Marc_080912.jpg,SWSV,Vaudoise,43,0,6,2,35,2,https://esv.ch/schwingerportraets/Gottofrey_Marc_Echallens.pdf
85,Florian,Grab,Rothenthurm,,,,,,,,,,,ISV,Schwyz,5,0,0,0,5,1,https://esv.ch/schwingerportraets/Grab_Florian_Rothenthurm.pdf
86,Colin,Graber,Schafisheim,,,,,,,,,,https://esv.ch/pics/schwinger/large/Graber_Colin.JPG,NWSV,Aargau,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Graber_Colin_Schafisheim.pdf
87,Enea,Grob,Boningen,,,,,,,,,,https://esv.ch/pics/schwinger/large/Grob_Enea.JPG,NWSV,Aargau,2,0,0,0,2,2,https://esv.ch/schwingerportraets/Grob_Enea_Boningen.pdf
88,John,Grossen,Frutigen,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7625.jpg,BKSV,Oberland,9,0,0,0,9,1,https://esv.ch/schwingerportraets/Grossen_John_Frutigen.pdf
89,Pascal,Heierli,Horgen,,,,,,,,,,https://esv.ch/pics/schwinger/large/220813-12-08-40_DSC_7864.jpg,NOSV,St. Gallen,8,0,1,0,7,2,https://esv.ch/schwingerportraets/Heierli_Pascal_Ebnat-Kappel.pdf
90,Marco,Heiniger,Menznau,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Heiniger_Marco_620113.jpg,ISV,Luzern,21,0,2,2,17,2,https://esv.ch/schwingerportraets/Heiniger_Marco_Willisau.pdf
91,Lukas,Heinzer,Goldau,,,,,,,,,,,ISV,Schwyz,7,0,1,0,6,2,https://esv.ch/schwingerportraets/Heinzer_Lukas_Goldau.pdf
92,Ronny,Heinzer,Rickenbach,,,,,,,,,,,ISV,Schwyz,9,0,0,0,9,1,https://esv.ch/schwingerportraets/Heinzer_Ronny_Rickenbach_b_Schwyz_SZ.pdf
93,Oliver,Hermann,Erlinsbach,,,,,,,,,,https://esv.ch/pics/schwinger/large/Hermann-Oliver_0073_V1_HR.jpg,NWSV,Aargau,27,0,6,2,19,3,https://esv.ch/schwingerportraets/Hermann_Oliver_Erlinsbach.pdf
94,Dominik,Hess,Engelberg,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Hess_Dominik_620129.jpg,ISV,Ob- und Nidwalden,6,0,0,0,6,1,https://esv.ch/schwingerportraets/Hess_Dominik_Engelberg.pdf
95,Melchior,Huber,Hasliberg Reuti,,,,,,,,,,,BKSV,Oberland,3,0,0,0,3,1,https://esv.ch/schwingerportraets/Huber_Melchior_Hasliberg_Reuti.pdf
96,Kaj,Hügli,Attelwil,,,,,,,,,,https://esv.ch/pics/schwinger/large/Huegli_Kaj_AG_KOE2870.JPG,NWSV,Aargau,24,0,3,1,20,1,https://esv.ch/schwingerportraets/Huegli_Kaj_Attelwil.pdf
97,Tobias,Hurschler,Engelberg,,,,,,,,,,,ISV,Ob- und Nidwalden,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Hurschler_Tobias_Engelberg.pdf
98,David,Imfeld,Lungern,,,,,,,,,,,ISV,Ob- und Nidwalden,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Imfeld_David_Lungern.pdf
99,Laurin,Imfeld,Lungern,,,,,,,,,,,ISV,Ob- und Nidwalden,1,0,0,0,1,1,https://esv.ch/schwingerportraets/Imfeld_Laurin_Lungern.pdf
100,Marco,Iseli,Reutigen,,,,,,,,,,https://zksv.esv.ch/pics/schwinger/large/_ALO7531.jpg,BKSV,Oberland,9,0,2,0,7,1,https://zksv.esv.ch/schwingerportraets/Iseli_Marco_Zwieselberg.pdf
101,Pascal,Joho,Sarmenstorf,,,,,,,,,,https://esv.ch/pics/schwinger/large/Joho_Pascal_AG_KOE2861.JPG,NWSV,Aargau,5,0,1,0,4,1,https://esv.ch/schwingerportraets/Joho_Pascal_Sarmenstorf.pdf
102,Philip,Joho,Sarmenstorf,,,,,,,,,,https://esv.ch/pics/schwinger/large/Joho_Philip_AG_KOE2872.JPG,NWSV,Aargau,3,0,0,0,3,1,https://esv.ch/schwingerportraets/Joho_Philip_Sarmenstorf.pdf
103,Remo,Käser,Alchenstorf,,,,,,,,,,https://arls.esv.ch/pics/schwinger/large/_ALO7780.jpg,BKSV,Oberaargau,54,1,9,9,35,2,https://arls.esv.ch/schwingerportraets/Kaeser_Remo_Burgaeschi.pdf
104,Joel,Kessler,Siebnen,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Kessler_Joel_619479.jpg,ISV,Schwyz,10,0,1,0,9,2,https://esv.ch/schwingerportraets/Kessler_Joel_Siebnen.pdf
105,Aron,Kiser,Weinfelden,,,,,,,,,,https://esv.ch/pics/schwinger/large/180722-11-06-48_DSC_5817__Tschirtschen_22_Juli_18_Schwingen_-_NOSV_ENST_Zusammenzug_Kiser_Aron_Jg_01_-_Maerstetten_Lorenz_Reifler.jpg,NOSV,Thurgau,3,0,0,0,3,1,https://esv.ch/schwingerportraets/Kieser_Aron_Maerstetten.pdf
106,Adrian,Klossner,Horboden,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7678.jpg,BKSV,Oberland,16,0,0,1,15,1,https://esv.ch/schwingerportraets/Klossner_Adrian_Horboden.pdf
107,Janosch,Kobler,Widnau,,,,,,,,,,https://esv.ch/pics/schwinger/large/230816-19-00-16_DSC_8932.jpg,NOSV,St. Gallen,7,0,0,0,7,1,https://esv.ch/schwingerportraets/Kobler_Janosch_Oberriet_SG.pdf
108,Reto,Koch,Gonten,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-24-03_DSC_4394.jpg,NOSV,Appenzell,17,0,1,1,15,1,https://esv.ch/schwingerportraets/Koch_Reto_Gonten.pdf
109,Thomas,Koch,Gonten,,,,,,,,,,https://esv.ch/pics/schwinger/large/LOWRES_Koch_Thomas_CG19-04-20CG19-04-20_DSF5273S.jpg,NOSV,Appenzell,19,0,2,0,17,1,https://esv.ch/schwingerportraets/Koch_Thomas_Gonten.pdf
110,Kilian,Kolb,Affeltrangen,,,,,,,,,,,NOSV,Thurgau,4,0,0,0,4,1,https://esv.ch/schwingerportraets/Kolb_Kilian_Affeltrangen.pdf
111,Pirmin,Kolb,Tuttwil,,,,,,,,,,https://esv.ch/pics/schwinger/large/220813-12-16-31_DSC_7958.jpg,NOSV,Thurgau,4,0,0,0,4,1,https://esv.ch/schwingerportraets/Kolb_Pirmin_Affeltrangen.pdf
112,This,Kolb,Rossrüti,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-31-56_DSC_4421.jpg,NOSV,Thurgau,11,0,2,0,9,1,https://esv.ch/schwingerportraets/Kolb_This_Affeltrangen.pdf
113,Janik,Korrodi,Schönenberg ZH,,,,,,,,,,,NOSV,Zürich,3,0,0,0,3,1,https://esv.ch/schwingerportraets/Korrodi_Janik_Schoenenberg_ZH.pdf
114,Lario,Kramer,Galmiz,,,,,,,,,,https://esv.ch/pics/schwinger/large/SWSV_Kramer_Lario_080597.jpg,SWSV,Fribourgeoise,61,2,11,12,36,3,https://esv.ch/schwingerportraets/Kramer_Lario_Galmiz.pdf
115,Andri,Krauer,Neuenkirch,,,,,,,,,,,ISV,Luzern,2,0,0,0,2,1,https://esv.ch/schwingerportraets/Krauer_Andri_Neuenkirch.pdf
116,Elias,Kundert,Sirnach,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-35-26_DSC_4426.jpg,NOSV,Thurgau,7,0,1,0,6,1,https://esv.ch/schwingerportraets/Kundert_Elias_Sirnach.pdf
117,Patrick,Kurmann,Gähwil,,,,,,,,,,https://esv.ch/pics/schwinger/large/220813-12-09-14_DSC_7877.jpg,NOSV,St. Gallen,5,0,1,0,4,1,https://esv.ch/schwingerportraets/Kurmann_Patrick_Gaehwil.pdf
118,Toni,Kurmann,Hergiswil b. Willisau,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Kurmann_Toni_620096.jpg,ISV,Luzern,11,0,1,0,10,1,https://esv.ch/schwingerportraets/Kurmann_Toni_Hergiswil_b_Willisau.pdf
119,Thomas,Kuster,Altstätten SG,,,,,,,,,,https://esv.ch/pics/schwinger/large/240824-09-24-57_DSC_4400.jpg,NOSV,Appenzell,19,0,1,0,18,1,https://esv.ch/schwingerportraets/Kuster_Thomas_Altstaetten_SG.pdf
120,Sven,Lang,Emmenbrücke,,,,,,,,,,https://esv.ch/pics/schwinger/large/ISV_Lang_Sven_620053.jpg,ISV,Luzern,19,0,4,1,14,1,https://esv.ch/schwingerportraets/Lang_Sven_Emmenbruecke.pdf
121,Christian,Lanter,Winterthur,,,,,,,,,,,NOSV,Zürich,8,0,0,0,8,1,https://esv.ch/schwingerportraets/Lanter_Christian_Kollbrunn_ZH.pdf
122,Michael,Ledermann,Mamishaus,,,,,,,,,,https://esv.ch/pics/schwinger/large/_ALO7748.jpg,BKSV,Mittelland,34,1,3,9,21,1,https://esv.ch/schwingerportraets/Ledermann_Michael_Mamishaus.pdf
123,Samir,Leuppi,Winterthur,,,,,,,,,,https://esv.ch/pics/schwinger/large/LOWRES_Leuppi_Samir_CG19-04-20CG19-04-20_DSF4680S.jpg,NOSV,Zürich,59,1,10,8,40,3,https://esv.ch/schwingerportraets/Leuppi_Samir_Winterthur.pdf
